aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
207,539.8,2023-12-31:17,34.7,39,98,98,65.3,2024-01-01T00:00:00,2023-12-31T17:00:00,1704042000
253,589.4,2023-12-31:18,35,32,166,133,61,2024-01-01T01:00:00,2023-12-31T18:00:00,1704045600
207,573.1,2023-12-31:19,30.7,31.7,98,98,52.7,2024-01-01T02:00:00,2023-12-31T19:00:00,1704049200
258,556.8,2023-12-31:20,26.3,31.3,142,137,44.3,2024-01-01T03:00:00,2023-12-31T20:00:00,1704052800
217,540.4,2023-12-31:21,22,31,106,106,36,2024-01-01T04:00:00,2023-12-31T21:00:00,1704056400
176,613.9,2023-12-31:22,21.3,39,132,75,33,2024-01-01T05:00:00,2023-12-31T22:00:00,1704060000
155,687.5,2023-12-31:23,20.7,47,100,59,30,2024-01-01T06:00:00,2023-12-31T23:00:00,1704063600
131,761,2024-01-01:00,20,55,59,47,27,2024-01-01T07:00:00,2024-01-01T00:00:00,1704067200
155,557.1,2024-01-01:01,14.7,87.3,78,59,39.7,2024-01-01T08:00:00,2024-01-01T01:00:00,1704070800
129,353.3,2024-01-01:02,9.3,119.7,54,46,52.3,2024-01-01T09:00:00,2024-01-01T02:00:00,1704074400
98,149.4,2024-01-01:03,4,152,43,34,65,2024-01-01T10:00:00,2024-01-01T03:00:00,1704078000
91,137.7,2024-01-01:04,3.3,152.7,44,30,59,2024-01-01T11:00:00,2024-01-01T04:00:00,1704081600
102,126.1,2024-01-01:05,2.7,153.3,46,36,53,2024-01-01T12:00:00,2024-01-01T05:00:00,1704085200
134,114.4,2024-01-01:06,2,154,60,48,47,2024-01-01T13:00:00,2024-01-01T06:00:00,1704088800
112,102.1,2024-01-01:07,2.3,134.7,44,40,40.7,2024-01-01T14:00:00,2024-01-01T07:00:00,1704092400
131,89.9,2024-01-01:08,2.7,115.3,62,47,34.3,2024-01-01T15:00:00,2024-01-01T08:00:00,1704096000
134,77.6,2024-01-01:09,3,96,48,48,28,2024-01-01T16:00:00,2024-01-01T09:00:00,1704099600
134,104.9,2024-01-01:10,6.7,83.7,48,48,29,2024-01-01T17:00:00,2024-01-01T10:00:00,1704103200
110,132.1,2024-01-01:11,10.3,71.3,43,39,30,2024-01-01T18:00:00,2024-01-01T11:00:00,1704106800
118,159.3,2024-01-01:12,14,59,53,42,31,2024-01-01T19:00:00,2024-01-01T12:00:00,1704110400
121,192.6,2024-01-01:13,16,55.7,43,43,37,2024-01-01T20:00:00,2024-01-01T13:00:00,1704114000
118,225.9,2024-01-01:14,18,52.3,53,42,43,2024-01-01T21:00:00,2024-01-01T14:00:00,1704117600
126,259.1,2024-01-01:15,20,49,49,45,49,2024-01-01T22:00:00,2024-01-01T15:00:00,1704121200
99,223.7,2024-01-01:16,16.3,53.3,47,34.5,43.3,2024-01-01T23:00:00,2024-01-01T16:00:00,1704124800
106,188.3,2024-01-01:17,12.7,57.7,50.5,37.5,37.7,2024-01-02T00:00:00,2024-01-01T17:00:00,1704128400
137,152.9,2024-01-01:18,9,62,61,49,32,2024-01-02T01:00:00,2024-01-01T18:00:00,1704132000
104,143,2024-01-01:19,8.7,61.3,50,37,34.3,2024-01-02T02:00:00,2024-01-01T19:00:00,1704135600
102,133.1,2024-01-01:20,8.3,60.7,42,36,36.7,2024-01-02T03:00:00,2024-01-01T20:00:00,1704139200
100,123.1,2024-01-01:21,8,60,40,35,39,2024-01-02T04:00:00,2024-01-01T21:00:00,1704142800
100,145.7,2024-01-01:22,9,60.7,42,35,41.7,2024-01-02T05:00:00,2024-01-01T22:00:00,1704146400
78,168.3,2024-01-01:23,10,61.3,34,25,44.3,2024-01-02T06:00:00,2024-01-01T23:00:00,1704150000
80,190.8,2024-01-02:00,11,62,29,26,47,2024-01-02T07:00:00,2024-01-02T00:00:00,1704153600
98,175.5,2024-01-02:01,9.7,84.3,43,34,55.7,2024-01-02T08:00:00,2024-01-02T01:00:00,1704157200
80,160.1,2024-01-02:02,8.3,106.7,28,26,64.3,2024-01-02T09:00:00,2024-01-02T02:00:00,1704160800
98,144.7,2024-01-02:03,7,129,38,34,73,2024-01-02T10:00:00,2024-01-02T03:00:00,1704164400
112,131.7,2024-01-02:04,6,126.3,72,40,66.7,2024-01-02T11:00:00,2024-01-02T04:00:00,1704168000
119,118.7,2024-01-02:05,5,123.7,69,42.5,60.3,2024-01-02T12:00:00,2024-01-02T05:00:00,1704171600
108,105.6,2024-01-02:06,4,121,47,38.5,54,2024-01-02T13:00:00,2024-01-02T06:00:00,1704175200
80,106,2024-01-02:07,4.3,119.7,33,26,54,2024-01-02T14:00:00,2024-01-02T07:00:00,1704178800
104,106.4,2024-01-02:08,4.7,118.3,39,37,54,2024-01-02T15:00:00,2024-01-02T08:00:00,1704182400
80,106.8,2024-01-02:09,5,117,33,26,54,2024-01-02T16:00:00,2024-01-02T09:00:00,1704186000
80,160.3,2024-01-02:10,10.7,99.7,33,26,57,2024-01-02T17:00:00,2024-01-02T10:00:00,1704189600
78,213.8,2024-01-02:11,16.3,82.3,31,25,60,2024-01-02T18:00:00,2024-01-02T11:00:00,1704193200
76,267.3,2024-01-02:12,22,65,30,24,63,2024-01-02T19:00:00,2024-01-02T12:00:00,1704196800
78,248.8,2024-01-02:13,19.7,63.7,31,25,59,2024-01-02T20:00:00,2024-01-02T13:00:00,1704200400
78,230.3,2024-01-02:14,17.3,62.3,28,25,55,2024-01-02T21:00:00,2024-01-02T14:00:00,1704204000
