aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
106,188.3,2024-01-01:17,12.7,57.7,50.5,37.5,37.7,2024-01-02T00:00:00,2024-01-01T17:00:00,1704128400
99,223.7,2024-01-01:16,16.3,53.3,47.0,34.5,43.3,2024-01-01T23:00:00,2024-01-01T16:00:00,1704124800
126,259.1,2024-01-01:15,20.0,49.0,49.0,45.0,49.0,2024-01-01T22:00:00,2024-01-01T15:00:00,1704121200
118,225.9,2024-01-01:14,18.0,52.3,53.0,42.0,43.0,2024-01-01T21:00:00,2024-01-01T14:00:00,1704117600
121,192.6,2024-01-01:13,16.0,55.7,43.0,43.0,37.0,2024-01-01T20:00:00,2024-01-01T13:00:00,1704114000
118,159.3,2024-01-01:12,14.0,59.0,53.0,42.0,31.0,2024-01-01T19:00:00,2024-01-01T12:00:00,1704110400
110,132.1,2024-01-01:11,10.3,71.3,43.0,39.0,30.0,2024-01-01T18:00:00,2024-01-01T11:00:00,1704106800
134,104.9,2024-01-01:10,6.7,83.7,48.0,48.0,29.0,2024-01-01T17:00:00,2024-01-01T10:00:00,1704103200
134,77.6,2024-01-01:09,3.0,96.0,48.0,48.0,28.0,2024-01-01T16:00:00,2024-01-01T09:00:00,1704099600
131,89.9,2024-01-01:08,2.7,115.3,62.0,47.0,34.3,2024-01-01T15:00:00,2024-01-01T08:00:00,1704096000
112,102.1,2024-01-01:07,2.3,134.7,44.0,40.0,40.7,2024-01-01T14:00:00,2024-01-01T07:00:00,1704092400
134,114.4,2024-01-01:06,2.0,154.0,60.0,48.0,47.0,2024-01-01T13:00:00,2024-01-01T06:00:00,1704088800
102,126.1,2024-01-01:05,2.7,153.3,46.0,36.0,53.0,2024-01-01T12:00:00,2024-01-01T05:00:00,1704085200
91,137.7,2024-01-01:04,3.3,152.7,44.0,30.0,59.0,2024-01-01T11:00:00,2024-01-01T04:00:00,1704081600
98,149.4,2024-01-01:03,4.0,152.0,43.0,34.0,65.0,2024-01-01T10:00:00,2024-01-01T03:00:00,1704078000
129,353.3,2024-01-01:02,9.3,119.7,54.0,46.0,52.3,2024-01-01T09:00:00,2024-01-01T02:00:00,1704074400
